"happy","unit","province","age","gender","urban"
1,16,"江西",1,1,1
1,16,"江西",3,2,1
1,16,"江西",1,2,1
1,16,"江西",3,2,2
1,16,"江西",1,1,1
1,16,"江西",2,1,2
0,16,"江西",3,2,2
1,16,"江西",2,2,2
1,16,"江西",3,1,1
1,16,"江西",4,1,2
0,16,"江西",4,1,1
1,16,"江西",2,2,1
1,16,"江西",1,1,2
1,16,"江西",1,2,2
1,16,"江西",2,1,1
1,16,"江西",1,1,1
1,16,"江西",1,2,1
1,16,"江西",4,1,1
1,16,"江西",4,1,2
1,16,"江西",4,2,2
1,16,"江西",4,2,2
1,16,"江西",3,2,2
1,16,"江西",2,1,2
